UID,good-score,good,bad-score,bad,linguistics_term
1,,ناقشنا الآراء,,ناقش الآراء, VS-Pronomial subject 
2,,استفسرت عن قيمة البحث,,استفسر عن قيمة البحث, VS-Pronomial subject 
3,,يصوغون الذهب,,يصوغ الذهب, VS-Pronomial subject 
4,,يرفعان العلم,,يرفع العلم, VS-Pronomial subject 
5,,نهلن من نبع العلم,,نهل من نبع العلم, VS-Pronomial subject 
6,,نادوا للصلاة,,نادى للصلاة, VS-Pronomial subject 
7,,صاما رمضان,,صام رمضان, VS-Pronomial subject 
8,,حافظنا على الثورة المائية,,حافظ على الثورة المائية, VS-Pronomial subject 
9,,تجنبنا الأخطاء الإملائية,,تجنب الأخطاء الإملائية, VS-Pronomial subject 
10,,لن تستسلموا أمام الأعداء,,لن يستسلم أمام الأعداء, VS-Pronomial subject 
11,,بدأنا اليوم بنشاط,,بدأ اليوم بنشاط, VS-Pronomial subject 
12,,استيقظوا في وقت باكر,,استيقظ في وقت باكر, VS-Pronomial subject 
13,,أتقنوا عملهم,,أتقن عمله, VS-Pronomial subject 
14,,أعطيت جائزة,,أعطى جائزة, VS-Pronomial subject 
15,,منحا العلامة التامة,,منح العلامة التامة, VS-Pronomial subject 
16,,أقمنا الصلاة,,أقام الصلاة, VS-Pronomial subject 
17,,زرت الجدة,,زار الجدة, VS-Pronomial subject 
18,,أسعفن المرضى,,أسعف المرضى, VS-Pronomial subject 
19,,لعبوا بمهارة,,لعب بمهارة, VS-Pronomial subject 
20,,يتحدثون عن عالم الحيوان,,يتحدث عن عالم الحيوان, VS-Pronomial subject 
21,,يتابعان المباراة,,يتابع المباراة, VS-Pronomial subject 
22,,ذهبنا إلى الحديقة,,ذهب إلى الحديقة, VS-Pronomial subject 
23,,اكتبوا بسرعة,,اكتب بسرعة, VS-Pronomial subject 
24,,عملا بجد,,عمل بجد, VS-Pronomial subject 
25,,وصلوا المطار,,وصل المطار, VS-Pronomial subject 
26,,قصدوا بيت الله الحرام,,قصد بيت الله الحرام, VS-Pronomial subject 
27,,أقاموا حفلة تخرج,,أقام حفلة تخرج, VS-Pronomial subject 
28,,يناضلن ضد العنصرية,,يناضل ضد العنصرية, VS-Pronomial subject 
29,,تدافعين عن الحق,,تدافع عن الحق, VS-Pronomial subject 
30,,أمليت عليهم التعليمات,,أملى عليهم التعليمات, VS-Pronomial subject 
31,,يهاجران طلبا العلم,,يهاجر طلبا العلم, VS-Pronomial subject 
32,,يقطفن القطن,,تقطف القطن, VS-Pronomial subject 
33,,رسموا المستقبل,,رسم المستقبل, VS-Pronomial subject 
34,,أجروا العملية الجراحية,,أجرى العملية الجراحية, VS-Pronomial subject 
35,,سددنا الديون,,سدد الديون, VS-Pronomial subject 
36,,قرأت عن حياة الرسول,,قرأ عن حياة الرسول, VS-Pronomial subject 
37,,اصبروا على المصائب,,اصبر على المصائب, VS-Pronomial subject 
38,,صنعت عدسة مكبرة,,صنع عدسة مكبرة, VS-Pronomial subject 
39,,انتقلنا إلى مكان جديد,,انتقل إلى مكان جديد, VS-Pronomial subject 
40,,جهزنا الحقائب للسفر,,جهز الحقائب للسفر, VS-Pronomial subject 
41,,سافرا برحلة ممتعة,,سافر برحلة ممتعة, VS-Pronomial subject 
42,,دققوا المقالة,,دقق المقالة, VS-Pronomial subject 
43,,اضطررنا للخروج,,اضطر للخروج, VS-Pronomial subject 
44,,شاهدنا العمل الفني,,شاهد العمل الفني, VS-Pronomial subject 
45,,عرضوا مسرحية أدبية,,عرض مسرحية أدبية, VS-Pronomial subject 
46,,بنوا الأهرامات,,بنى الأهرامات, VS-Pronomial subject 
47,,شرحت الدرس,,شرح الدرس, VS-Pronomial subject 
48,,استطاعوا تحقيق النصر,,استطاع تحقيق النصر, VS-Pronomial subject 
49,,اهتموا بالنظافة,,اهتم بالنظافة, VS-Pronomial subject 
50,,بادرنا لتشجيع الفريق,,بادر لتشجيع الفريق, VS-Pronomial subject 
51,,بنيت الصرح العالي,,بنى الصرح العالي, VS-Pronomial subject 
52,,قطفت الثمار,,قطف الثمار, VS-Pronomial subject 
53,,غرسوا الأشجار,,غرس الأشجار, VS-Pronomial subject 
54,,زينوا الحي,,زين الحي, VS-Pronomial subject 
55,,داروا حول الملعب,,دار حول الملعب, VS-Pronomial subject 
56,,انتظرنا الفرج,,انتظر الفرج, VS-Pronomial subject 
57,,أطالوا البعد,,أطال البعد, VS-Pronomial subject 
58,,غلبنا العدو,,غلب العدو, VS-Pronomial subject 
59,,رقدوا في السرير,,رقد في السرير, VS-Pronomial subject 
60,,أسعفا المصابين,,أسعف المصابين, VS-Pronomial subject 
61,,أخمدا الحريق,,أخمد الحريق, VS-Pronomial subject 
62,,أشعلوا الفتنة,,أشعل الفتنة, VS-Pronomial subject 
63,,كسبوا المال,,كسب المال, VS-Pronomial subject 
64,,باعوا البضاعة,,باع البضاعة, VS-Pronomial subject 
65,,تزوجا بحفل بهيج,,تزوج بحفل بهيج, VS-Pronomial subject 
66,,استخرجوا معاني الكلمات,,استخرج معاني الكلمات, VS-Pronomial subject 
67,,أيقظت شعور المحبة,,أيقظ شعور المحبة, VS-Pronomial subject 
68,,انتبهوا للغلط,,انتبه للغلط, VS-Pronomial subject 
69,,استبدلوا الأرقام بكلمات,,استبدل الأرقام بكلمات, VS-Pronomial subject 
70,,كتبوا الأحداث,,كتب الأحداث, VS-Pronomial subject 
71,,قضمت التفاحة,,قضم التفاحة, VS-Pronomial subject 
72,,تناولنا الفطور,,تناول الفطور, VS-Pronomial subject 
73,,زاروا معمل الأدوية,,زار معمل الأدوية, VS-Pronomial subject 
74,,زرعوا الأرض سيوفاً,,زرع الأرض سيوفاً, VS-Pronomial subject 
75,,رموا السهام,,رمى السهام, VS-Pronomial subject 
76,,قتلوا محمد الدرة,,قتل محمد الدرة, VS-Pronomial subject 
77,,اختطفوا مدير البنك,,اختطف مدير البنك, VS-Pronomial subject 
78,,قابلوا مدير الناحية,,قابل مدير الناحية, VS-Pronomial subject 
79,,زرنا قلعة حلب,,زار قلعة حلب, VS-Pronomial subject 
80,,طلبنا الدليل السياحي,,طلب الدليل السياحي, VS-Pronomial subject 
81,,شرحا للجميع حول الآثار,,شرح للجميع حول الآثار, VS-Pronomial subject 
82,,تسعفن المرضى,,تسعف المرضى, VS-Pronomial subject 
83,,ضمدن الجرحى,,ضمدت الجرحى, VS-Pronomial subject 
84,,قمت بواجباتي,,قام بالواجبات, VS-Pronomial subject 
85,,أقرضت صديقي,,أقرض صديقه, VS-Pronomial subject 
86,,استرجعوا ما أخذ منهم,,استرجع ما أخذ منهم, VS-Pronomial subject 
87,,وافقوا على تلبية الدعوة,,وافق على تلبية الدعوة, VS-Pronomial subject 
88,,استقبلنا الضيوف بوجه بشوش,,استقبل الضيوف بوجه بشوش, VS-Pronomial subject 
89,,اندفعوا نحو الهدف,,اندفع نحو الهدف, VS-Pronomial subject 
90,,قرأوا الدرس,,قرأ الدرس, VS-Pronomial subject 
91,,تلوا القرآن,,تلى القرآن, VS-Pronomial subject 
92,,لعبنا لعبة الشطرنج,,لعب لعبة الشطرنج, VS-Pronomial subject 
93,,نجحنا في المدرسة,,نجح في المدرسة, VS-Pronomial subject 
94,,اندهشنا من جمال الطبيعة,,اندهش من جمال الطبيعة, VS-Pronomial subject 
95,,طرقوا الباب,,طرق الباب, VS-Pronomial subject 
96,,رحلا إلى أوربا,,رحل إلى أوربا, VS-Pronomial subject 
97,,اتصلا بي,,اتصل بي, VS-Pronomial subject 
98,,أكلوا الحلويات,,أكل الحلويات, VS-Pronomial subject 
99,,شرحت القاعدة النحوية,,شرح القاعدة النحوية, VS-Pronomial subject 
100,,سبحنا في البحر,,سبح في البحر, VS-Pronomial subject 
101,,بحثنا عن الحقائق,,بحث عن الحقائق, VS-Pronomial subject 
102,,اشترينا سيارة جديدة,,اشترى سيارة جديدة, VS-Pronomial subject 
103,,منحنا الفقيرة كسوة,,منح الفقير كسوة, VS-Pronomial subject 
104,,نهضوا احتراماً للمعلم,,نهض احتراماً للمعلم, VS-Pronomial subject 
105,,استفسرنا عن طبيعة العمل,,استفسر عن طبيعة العمل, VS-Pronomial subject 
106,,زرنا المريض,,زار المريض, VS-Pronomial subject 
107,,أشادوا صروحاً عالية,,أشاد صروحاً عالية, VS-Pronomial subject 
108,,أقمنا حفل تكريم,,أقام حفل تكريم, VS-Pronomial subject 
109,,أدينا مناسك الحج,,أدى مناسك الحج, VS-Pronomial subject 
110,,طافوا حول الكعبة,,طاف حول الكعبة, VS-Pronomial subject 
111,,أدرت مقود السيارة,,أدار مقود السيارة, VS-Pronomial subject 
112,,وضعنا الأموال بالبنك,,وضع الأموال في البنك, VS-Pronomial subject 
113,,طلبنا العفو,,طلب العفو, VS-Pronomial subject 
114,,استمروا بالدراسة,,استمر بالدراسة, VS-Pronomial subject 
115,,غرسنا السيوف,,غرس السيوف, VS-Pronomial subject 
116,,زرعنا الورد,,زرع الورد, VS-Pronomial subject 
117,,تسامرنا في الليل,,تسامر في الليل, VS-Pronomial subject 
118,,استكشفنا المكان,,استكشف المكان, VS-Pronomial subject 
119,,اكتشفنا الأخطاء,,اكتشف الأخطاء, VS-Pronomial subject 
120,,نصبوا الخيام,,نصب الخيام, VS-Pronomial subject 
121,,جهزوا أنفسهم,,جهز نفسه, VS-Pronomial subject 
122,,خبزنا المعجنات,,خبز المعجنات, VS-Pronomial subject 
123,,عملا الخير,,عمل الخير, VS-Pronomial subject 
124,,منعوا الجريمة,,منع الجريمة, VS-Pronomial subject 
125,,انطلقنا نحو المعمل,,انطلق نحو المعمل, VS-Pronomial subject 
126,,يحترمون العلم,,يحترم العلم, VS-Pronomial subject 
127,,استطاعوا تلبية النداء,,استطاع تلبية النداء, VS-Pronomial subject 
128,,اقتدينا بالمعلم,,اقتدى بالمعلم, VS-Pronomial subject 
129,,احتذوا النهج,,احتذى النهج, VS-Pronomial subject 
130,,ساومنا على الحرية,,ساوم على الحرية, VS-Pronomial subject 
131,,سافروا برحلة ,,سافر برحلة, VS-Pronomial subject 
132,,وصلت القمر,,وصل القمر, VS-Pronomial subject 
133,,انخدعنا بمن حولنا,,انخدع بمن حوله, VS-Pronomial subject 
134,,سرقوا السعادة,,سرق السعادة, VS-Pronomial subject 
135,,اهتموا بالشعائر,,اهتم بالشعائر, VS-Pronomial subject 
136,,صعدا سطح القمر,,صعد سطح القمر, VS-Pronomial subject 
137,,حفظنا القصيدة,,حفظ القصيدة, VS-Pronomial subject 
138,,نطقنا بالضاد,,نطق بالضاد, VS-Pronomial subject 
139,,احتفلنا بعيد الفطر,,احتفل بعيد الفطر, VS-Pronomial subject 
140,,يتساعدون في العمل,,يتساعد في العمل, VS-Pronomial subject 
141,,يحملان المسؤولية,,يحمل المسؤولية, VS-Pronomial subject 
142,,حرصنا على الوقت,,حرص على الوقت, VS-Pronomial subject 
143,,نهضوا من الفراش,,نهض من الفراش, VS-Pronomial subject 
144,,رقصنا مع الأغنية,,رقص مع الأغنية, VS-Pronomial subject 
145,,يستفيدون من الفرص,,يستفيد من الفرص, VS-Pronomial subject 
146,,استقبلنا العام الدراسي,,استقبل العام الدراسي, VS-Pronomial subject 
147,,يساندون المظلوم,,يساند المظلوم, VS-Pronomial subject 
148,,تبادلنا نظرات الشوق,,تبادل نظرات الشوق, VS-Pronomial subject 
149,,غادرنا المطار,,غادر المطار, VS-Pronomial subject 
150,,فهموا الحياة,,فهم الحياة, VS-Pronomial subject 
151,,يزرع الفلاح الشجرة,,تزرع الفلاح الشجرة,VS- V agrees S in gender
152,,قرأ محمد القصة,,قرأت محمد القصة,VS- V agrees S in gender
153,,نهضت الطفلة من السرير,,نهض الطفلة من السرير,VS- V agrees S in gender
154,,تقطف الفلاحة المحصول,,يقطف الفلاحة المحصول,VS- V agrees S in gender
155,,ارتوت الأرض من الماء,,ارتوى الأرض من الماء,VS- V agrees S in gender
156,,نادى المؤذن للصلاة,,نادت المؤذن للصلاة,VS- V agrees S in gender
157,,صام محمد رمضان,,صامت محمد رمضان,VS- V agrees S in gender
158,,حافظ أحمد على الثورة المائية,,حافظت أحمد على الثورة المائية,VS- V agrees S in gender
159,,تجنب سامر الأخطاء الإملائية,,تجنبت سامر الأخطاء الإملائية,VS- V agrees S in gender
